id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_unit
1,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",29-06-2021 04:00:00,PM2.5,20.0,42.0,28.0,
2,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",29-06-2021 04:00:00,PM10,20.0,50.0,35.0,
3,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",29-06-2021 04:00:00,NO2,9.0,24.0,11.0,
4,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",29-06-2021 04:00:00,NH3,1.0,3.0,2.0,
5,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",29-06-2021 04:00:00,SO2,12.0,38.0,17.0,
6,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",29-06-2021 04:00:00,CO,8.0,31.0,19.0,
7,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",29-06-2021 04:00:00,OZONE,17.0,52.0,46.0,
8,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",29-06-2021 04:00:00,PM2.5,29.0,65.0,46.0,
9,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",29-06-2021 04:00:00,PM10,37.0,79.0,56.0,
10,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",29-06-2021 04:00:00,NO2,8.0,21.0,11.0,
11,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",29-06-2021 04:00:00,NH3,2.0,4.0,3.0,
12,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",29-06-2021 04:00:00,SO2,1.0,8.0,5.0,
13,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",29-06-2021 04:00:00,CO,8.0,65.0,24.0,
14,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",29-06-2021 04:00:00,OZONE,7.0,35.0,22.0,
15,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",29-06-2021 04:00:00,PM2.5,18.0,61.0,32.0,
16,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",29-06-2021 04:00:00,PM10,33.0,89.0,51.0,
17,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",29-06-2021 04:00:00,NO2,5.0,40.0,20.0,
18,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",29-06-2021 04:00:00,NH3,2.0,2.0,2.0,
19,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",29-06-2021 04:00:00,SO2,4.0,8.0,6.0,
20,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",29-06-2021 04:00:00,CO,1.0,114.0,56.0,
21,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",29-06-2021 04:00:00,OZONE,19.0,45.0,30.0,
22,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",29-06-2021 04:00:00,PM2.5,18.0,73.0,44.0,
23,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",29-06-2021 04:00:00,PM10,30.0,107.0,72.0,
